usage_id,customer_id,year_month,data_gb,call_min,billing_amount,service_count,app_login_count
U06001,C001,2025-01,87.8,216,98982,4,14
U06002,C002,2025-01,13.79,261,42452,1,3
U06003,C003,2025-01,40.5,448,78385,1,20
U06004,C004,2025-01,71.0,270,88437,4,16
U06005,C005,2025-01,45.87,252,86427,2,28
U06006,C006,2025-01,15.89,262,53446,1,8
U06007,C007,2025-01,65.0,372,87738,4,13
U06008,C008,2025-01,18.72,120,48019,3,6
U06009,C009,2025-01,11.81,295,48965,2,14
U06010,C010,2025-01,73.21,264,90249,3,15
U06011,C011,2025-01,1.45,2,23789,1,4
U06012,C012,2025-01,13.19,200,45828,3,16
U06013,C013,2025-01,17.32,276,50151,1,11
U06014,C014,2025-01,4.96,57,36785,1,5
U06015,C015,2025-01,68.65,399,100338,5,4
U06016,C016,2025-01,51.38,105,84504,6,11
U06017,C017,2025-01,33.76,321,87081,6,9
U06018,C018,2025-01,7.07,302,51829,2,19
U06019,C019,2025-01,17.3,338,40939,0,25
U06020,C020,2025-01,17.1,164,49654,3,10
U06021,C021,2025-01,14.92,143,49809,3,7
U06022,C022,2025-01,39.54,211,101414,0,10
U06023,C023,2025-01,0.99,0,33467,0,6
U06024,C024,2025-01,4.75,109,31453,1,0
U06025,C025,2025-01,8.84,236,32529,2,7
U06026,C026,2025-01,16.73,174,54081,1,11
U06027,C027,2025-01,44.48,259,90800,7,18
U06028,C028,2025-01,15.95,241,49774,2,14
U06029,C029,2025-01,28.8,449,79659,4,13
U06030,C030,2025-01,11.64,166,50490,3,9
U06031,C031,2025-01,43.09,347,90255,5,8
U06032,C032,2025-01,6.87,54,51387,1,2
U06033,C033,2025-01,25.96,381,88288,4,16
U06034,C034,2025-01,60.1,253,76414,10,26
U06035,C035,2025-01,6.85,118,37527,2,6
U06036,C036,2025-01,20.51,163,45661,0,15
U06037,C037,2025-01,6.98,193,34160,3,14
U06038,C038,2025-01,50.5,235,88684,4,11
U06039,C039,2025-01,11.34,155,46297,2,14
U06040,C040,2025-01,2.43,130,22712,1,11
U06041,C041,2025-01,20.4,268,56061,1,5
U06042,C042,2025-01,68.0,386,108725,3,20
U06043,C043,2025-01,14.94,168,52511,0,7
U06044,C044,2025-01,0.11,0,28830,2,5
U06045,C045,2025-01,18.17,208,51101,1,5
U06046,C046,2025-01,12.07,342,92596,7,19
U06047,C047,2025-01,7.61,136,29832,0,6
U06048,C048,2025-01,16.92,190,48143,3,8
U06049,C049,2025-01,5.35,217,29529,1,8
U06050,C050,2025-01,5.14,67,34597,0,8
U06051,C051,2025-01,10.3,156,49347,0,7
U06052,C052,2025-01,12.43,93,52825,2,10
U06053,C053,2025-01,6.58,144,45794,1,11
U06054,C054,2025-01,57.66,505,87348,1,7
U06055,C055,2025-01,12.75,273,57596,2,4
U06056,C056,2025-01,14.14,164,51788,1,3
U06057,C057,2025-01,14.38,168,48977,1,3
U06058,C058,2025-01,0.21,0,29709,0,0
U06059,C059,2025-01,0.1,0,49120,2,0
U06060,C060,2025-01,0.78,0,27692,2,0
U06061,C061,2025-01,7.21,133,59238,2,5
U06062,C062,2025-01,74.48,264,84694,3,12
U06063,C063,2025-01,16.32,221,44555,3,5
U06064,C064,2025-01,0.62,11,48315,2,0
U06065,C065,2025-01,40.81,170,86957,3,11
U06066,C066,2025-01,41.85,325,87564,2,13
U06067,C067,2025-01,26.35,268,45072,3,10
U06068,C068,2025-01,21.87,0,84514,2,2
U06069,C069,2025-01,6.26,250,28547,3,5
U06070,C070,2025-01,11.52,181,57113,3,10
U06071,C071,2025-01,7.47,0,93322,4,0
U06072,C072,2025-01,23.47,303,90409,3,15
U06073,C073,2025-01,4.52,109,28769,0,4
U06074,C074,2025-01,2.09,61,34915,0,7
U06075,C075,2025-01,11.77,258,51645,3,18
U06076,C076,2025-01,37.41,241,92580,2,16
U06077,C077,2025-01,8.53,225,17777,0,5
U06078,C078,2025-01,15.3,181,41964,4,13
U06079,C079,2025-01,21.52,209,52565,4,10
U06080,C080,2025-01,14.93,245,50271,0,9
U06081,C081,2025-01,14.02,225,52053,1,16
U06082,C082,2025-01,14.43,197,52439,1,15
U06083,C083,2025-01,9.36,325,48866,6,15
U06084,C084,2025-01,59.83,167,83355,4,16
U06085,C085,2025-01,13.85,104,40647,3,5
U06086,C086,2025-01,14.34,66,48942,2,11
U06087,C087,2025-01,19.56,175,51038,3,4
U06088,C088,2025-01,8.13,131,50963,2,3
U06089,C089,2025-01,8.83,168,54136,1,7
U06090,C090,2025-01,49.19,365,79666,5,18
U06091,C091,2025-01,12.88,207,45768,2,10
U06092,C092,2025-01,0.1,108,87008,2,3
U06093,C093,2025-01,5.34,157,33480,0,1
U06094,C094,2025-01,7.54,117,31775,0,6
U06095,C095,2025-01,7.74,192,31636,0,2
U06096,C096,2025-01,56.57,186,99843,4,16
U06097,C097,2025-01,0.11,0,32168,3,1
U06098,C098,2025-01,59.04,224,85177,4,5
U06099,C099,2025-01,11.1,126,47059,3,4
U06100,C100,2025-01,9.87,176,41301,1,12
U06101,C101,2025-01,19.38,224,49933,2,1
U06102,C102,2025-01,6.02,145,26122,1,6
U06103,C103,2025-01,57.97,322,81409,4,12
U06104,C104,2025-01,16.03,342,54647,1,14
U06105,C105,2025-01,38.84,414,100165,6,16
U06106,C106,2025-01,2.99,169,27948,1,7
U06107,C107,2025-01,4.66,97,34669,1,7
U06108,C108,2025-01,38.02,237,76459,6,12
U06109,C109,2025-01,0.1,0,53324,2,3
U06110,C110,2025-01,16.69,198,56622,1,9
U06111,C111,2025-01,1.45,0,36282,1,0
U06112,C112,2025-01,90.3,294,90661,2,12
U06113,C113,2025-01,7.31,180,33097,2,4
U06114,C114,2025-01,5.31,197,25363,0,3
U06115,C115,2025-01,55.7,257,88565,3,18
U06116,C116,2025-01,6.31,286,21889,1,10
U06117,C117,2025-01,30.86,139,87287,3,7
U06118,C118,2025-01,6.38,104,29660,1,3
U06119,C119,2025-01,4.81,158,31050,1,0
U06120,C120,2025-01,5.72,46,27738,1,2
U06121,C121,2025-01,27.21,301,81824,7,7
U06122,C122,2025-01,6.87,163,40479,3,7
U06123,C123,2025-01,7.25,240,21261,0,3
U06124,C124,2025-01,6.24,119,30006,1,5
U06125,C125,2025-01,4.99,21,28698,0,1
U06126,C126,2025-01,16.52,317,55912,1,13
U06127,C127,2025-01,0.1,100,50616,1,0
U06128,C128,2025-01,2.47,48,46569,2,0
U06129,C129,2025-01,0.18,0,26984,1,6
U06130,C130,2025-01,0.1,0,49458,2,0
U06131,C131,2025-01,1.18,105,30101,0,4
U06132,C132,2025-01,55.93,195,77483,3,19
U06133,C133,2025-01,66.25,338,85330,8,12
U06134,C134,2025-01,1.7,45,29298,1,1
U06135,C135,2025-01,6.9,116,37420,0,6
U06136,C136,2025-01,7.02,189,32395,1,5
U06137,C137,2025-01,18.79,280,55208,2,16
U06138,C138,2025-01,15.34,170,58184,2,5
U06139,C139,2025-01,4.9,106,32124,1,2
U06140,C140,2025-01,14.97,169,54799,3,10
U06141,C141,2025-01,75.13,183,92475,1,18
U06142,C142,2025-01,75.8,331,79628,2,9
U06143,C143,2025-01,15.3,165,47566,1,9
U06144,C144,2025-01,24.6,256,60153,1,13
U06145,C145,2025-01,3.45,103,37062,1,5
U06146,C146,2025-01,48.53,477,82156,4,10
U06147,C147,2025-01,38.08,245,89428,3,12
U06148,C148,2025-01,16.83,224,54922,1,13
U06149,C149,2025-01,3.36,127,35226,3,6
U06150,C150,2025-01,0.1,45,25531,0,2
U06151,C151,2025-01,9.38,70,54904,1,1
U06152,C152,2025-01,11.73,184,52909,3,5
U06153,C153,2025-01,83.2,260,93089,6,12
U06154,C154,2025-01,78.91,301,84378,5,13
U06155,C155,2025-01,12.29,155,46491,4,8
U06156,C156,2025-01,4.65,133,29452,1,5
U06157,C157,2025-01,11.78,193,51523,2,7
U06158,C158,2025-01,16.52,261,49877,2,10
U06159,C159,2025-01,0.1,43,39093,0,0
U06160,C160,2025-01,7.89,195,28409,1,7
U06161,C161,2025-01,18.38,181,55620,2,9
U06162,C162,2025-01,3.74,153,31244,1,4
U06163,C163,2025-01,13.2,97,51528,2,13
U06164,C164,2025-01,51.7,335,88338,4,21
U06165,C165,2025-01,15.17,125,43214,2,15
U06166,C166,2025-01,6.31,172,37227,1,12
U06167,C167,2025-01,6.62,28,29729,1,3
U06168,C168,2025-01,7.76,58,36371,0,7
U06169,C169,2025-01,17.61,88,48414,4,11
U06170,C170,2025-01,4.27,143,33569,1,6
U06171,C171,2025-01,0.1,12,50096,1,1
U06172,C172,2025-01,9.77,112,56969,2,2
U06173,C173,2025-01,42.27,220,93374,9,10
U06174,C174,2025-01,38.85,308,93242,3,7
U06175,C175,2025-01,61.79,199,86928,7,7
U06176,C176,2025-01,4.45,225,33119,2,6
U06177,C177,2025-01,21.17,225,44687,1,9
U06178,C178,2025-01,52.63,242,78046,2,6
U06179,C179,2025-01,3.99,181,27557,0,8
U06180,C180,2025-01,61.96,307,90044,1,22
